UserID,Item1,Item2,bitClassification
1963,987,1436,1
5951,1080,872,1
1254,90,192,1
2738,3003,1945,0
3527,351,2744,0
1169,2758,2652,1
3496,466,423,0
1684,319,219,0
2968,1179,3128,0
657,127,1761,1
4876,603,2458,0
5052,2207,1976,1
4841,575,397,0
1647,1154,44,1
727,1934,2000,0
1160,2172,2944,0
3851,1300,3062,0
3551,3430,2827,1
384,190,3675,1
3046,944,718,1
1775,3402,3393,1
4113,60,2428,0
3967,1268,3686,1
156,3062,3024,1
4840,3693,1380,0
3912,3334,501,0
2547,3320,3289,0
5293,1865,423,0
4036,842,910,1
3286,3273,960,1
3627,3064,1083,0
1749,515,532,0
4862,872,863,0
3563,3028,1614,0
1814,2975,408,0
3757,1571,2855,1
102,1076,771,0
3497,3272,1784,0
2479,37,797,0
5450,1030,1113,1
5296,2191,408,1
2853,991,1,1
5124,751,2161,0
1367,929,2986,0
3390,65,1348,0
4967,1365,3244,0
1589,2598,2953,1
2386,562,1879,1
1374,32,634,0
4057,71,497,1
5184,3096,3216,0
1929,2877,147,0
1932,2051,1441,0
4313,619,2100,1
2761,3412,2080,0
5190,1256,1906,0
5408,2035,359,1
3048,3154,3002,0
31,2709,1690,1
496,1835,2108,0
1021,2040,3547,1
5541,1734,3591,0
1226,962,1901,1
1950,1743,2643,0
2178,2143,3314,0
2598,3076,2709,0
520,2273,2330,0
3723,1450,1486,1
3399,3365,351,0
61,2795,129,1
4092,2168,1532,0
2170,2462,1334,0
3894,2464,3668,1
5485,1471,2889,1
1603,19,1361,1
1866,2281,3400,1
5703,3700,920,0
4024,1218,1221,1
1710,3269,1418,0
4369,2524,3271,0
3607,3352,2581,0
1607,2819,349,1
595,629,1394,1
1157,1584,3376,0
1723,2249,2473,1
5031,1900,1209,0
1616,3421,184,0
3930,2303,1225,1
3571,133,3622,0
3605,700,96,1
5101,440,3457,1
3333,3210,2394,0
2822,172,1618,1
1967,3032,1108,0
5568,3677,2068,1
931,2083,3005,1
3471,178,3099,0
85,1175,1310,1
1133,2877,1464,1
949,988,2834,0
4723,2744,1243,0
2650,1584,72,0
1303,18,447,1
439,1832,2174,1
4627,3314,1622,1
5163,3274,3675,1
2223,1160,1594,0
357,2006,1380,0
129,270,192,0
4525,3312,2146,0
2177,1009,3104,0
5312,3432,1148,0
4714,3369,734,1
3874,1892,216,1
655,1388,1076,1
4955,2476,349,1
5698,107,1253,1
1375,1507,3194,1
5484,572,60,1
5492,995,787,0
3854,3435,3273,0
1158,2888,182,1
4296,1560,2769,1
113,380,2379,1
4966,184,990,0
2591,240,1909,0
361,715,3435,0
3344,406,987,0
1413,1140,1392,1
987,3623,423,1
4848,472,1611,1
4655,2287,3504,0
5844,3598,1660,1
1393,1239,2018,0
1872,2824,129,1
6023,1318,2798,1
5972,2822,241,1
694,1961,681,0
3028,2721,1695,0
1207,288,2456,0
2041,3625,3635,1
2400,830,2446,0
3989,3158,1708,1
2323,1612,532,1
514,510,995,1
5975,2324,1476,1
3982,957,1653,1
3927,1897,2708,1
2290,1909,959,0
2071,2993,2304,0
2447,3555,1596,0
448,1518,763,0
1242,3475,1110,0
2507,187,1743,1
571,2529,3062,0
5505,294,512,1
4137,1822,2304,1
5135,633,3560,0
256,2614,1633,0
935,2257,2250,0
4439,2797,1903,1
4102,1933,40,0
1863,2441,2313,1
4236,1223,1067,0
5893,641,1785,1
2683,207,3600,0
2544,3686,1903,0
961,2363,3532,1
2562,1351,3483,0
5389,287,3212,0
5838,2980,1049,1
583,1757,3086,1
4368,2804,3151,0
5054,150,170,1
2248,3635,3287,1
2339,542,2596,0
1178,1417,241,1
2518,1128,474,0
4026,3435,3145,0
4833,916,406,1
3500,28,2321,1
2455,569,3474,0
2624,1915,1524,0
2427,972,583,0
1643,1900,3292,0
4210,2080,2773,1
4734,2297,1213,1
1940,3589,888,1
5454,406,2026,1
1215,3689,1986,1
733,3192,1201,1
1673,2740,1405,0
5914,286,609,1
2037,2697,3679,0
2152,3003,1065,0
6036,3094,3127,1
681,1856,278,1
4444,75,2272,1
4607,2331,2032,1
5834,1154,1318,0
5778,2303,1931,0
3262,3582,1281,0
2405,2695,1074,1
5411,1281,1465,0
3208,199,1414,0
2348,2370,1961,0
3044,964,314,1
3540,2462,1681,1
5133,2492,3118,1
2619,3523,2116,1
446,3357,319,0
4719,3218,299,1
2006,3480,1503,1
3151,1961,2110,1
1016,2282,1438,0
5884,3542,723,1
2137,1451,314,1
3546,679,3260,0
4298,734,826,0
5149,3435,3420,0
1276,2129,1760,1
3881,2099,276,1
4085,2274,18,1
1302,2459,1629,1
2409,3636,423,0
3766,1888,1839,0
801,2794,3186,0
2458,1367,307,1
4629,1856,362,0
3687,775,604,1
2984,3053,3235,1
2328,1846,320,1
5169,858,65,1
481,3329,3068,1
2307,37,2369,1
1002,1631,3135,1
3525,1037,879,1
1253,3033,3500,1
2075,540,2511,0
3520,2608,581,0
3681,886,1071,1
3618,3031,3671,0
5714,769,60,1
2151,3207,2431,0
4919,1471,2991,1
4174,3541,1196,1
3242,278,202,0
5032,3635,634,0
1580,1743,2756,0
3111,1608,726,0
5350,708,957,0
1129,406,2708,1
2147,3393,3373,0
4855,1482,2689,1
415,831,3544,0
489,3102,2502,0
891,541,828,1
275,3432,2760,0
